state,pws_type,submission_year,epa_region_code,submission_quarter,primacy_agency,primary_source,pws_id,pws_name,season_start_date,season_end_date,activity_status,population,connections,first_reported,last_reported,owner_type,violation_code,violation_category,health_based,contaminant_code,major_violation,return_to_compliance_date,rule_name,violation_type,contaminant
KS,CWS,2024,7,3,Kansas,Surface water,KS2005904,"RICHMOND, CITY OF",,,A,442,207,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water,KS2005904,"RICHMOND, CITY OF",,,A,442,207,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2005912,"PRINCETON, CITY OF",,,A,252,140,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2011102,"ALLEN, CITY OF",,,A,159,85,4/13/1979,9/3/2024,Local government,3,MR,N,100,N,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2019704,"HARVEYVILLE, CITY OF",,,A,181,152,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2019704,"HARVEYVILLE, CITY OF",,,A,181,152,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2019704,"HARVEYVILLE, CITY OF",,,A,181,152,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2019704,"HARVEYVILLE, CITY OF",,,A,181,152,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2009910,"MOUND VALLEY, CITY OF",,,A,348,201,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2020701,"TORONTO, CITY OF",,,A,203,186,4/13/1979,9/3/2024,Local government,3,MR,N,100,N,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2010706,"PARKER, CITY OF",,,A,236,133,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water,KS2012304,MITCHELL CO RWD 2,,,A,873,478,4/13/1979,9/3/2024,Local government,3,MR,N,100,N,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water,KS2013910,OSAGE CO RWD 3,,,A,900,441,4/13/1979,9/3/2024,Local government,3,MR,N,100,N,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2013911,"SCRANTON, CITY OF",,,A,651,280,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2013911,"SCRANTON, CITY OF",,,A,651,280,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2013911,"SCRANTON, CITY OF",,,A,651,280,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2013911,"SCRANTON, CITY OF",,,A,651,280,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2013911,"SCRANTON, CITY OF",,,A,651,280,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2013911,"SCRANTON, CITY OF",,,A,651,280,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2013911,"SCRANTON, CITY OF",,,A,651,280,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2013911,"SCRANTON, CITY OF",,,A,651,280,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2013911,"SCRANTON, CITY OF",,,A,651,280,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2013911,"SCRANTON, CITY OF",,,A,651,280,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2013911,"SCRANTON, CITY OF",,,A,651,280,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2013911,"SCRANTON, CITY OF",,,A,651,280,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water,KS2011507,"MARION, CITY OF",,,A,1902,1002,4/13/1979,9/3/2024,Local government,3,MR,N,100,N,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water,KS2000304,"GARNETT, CITY OF",,,A,3192,1700,4/13/1979,9/3/2024,Local government,3,MR,N,100,N,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2020703,WOODSON CO RWD 1,,,A,1773,729,4/13/1979,9/3/2024,Local government,3,MR,N,100,N,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water,KS2001104,"FORT SCOTT, CITY OF",,,A,7513,3227,4/13/1979,9/3/2024,Local government,3,MR,N,100,N,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2010706,"PARKER, CITY OF",,,A,236,133,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,30-Apr-93,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2009902,"BARTLETT, CITY OF",,,A,68,63,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water,KS2005904,"RICHMOND, CITY OF",,,A,442,207,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water,KS2005904,"RICHMOND, CITY OF",,,A,442,207,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2011102,"ALLEN, CITY OF",,,A,159,85,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2011102,"ALLEN, CITY OF",,,A,159,85,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2011102,"ALLEN, CITY OF",,,A,159,85,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2011102,"ALLEN, CITY OF",,,A,159,85,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2010701,"BLUE MOUND, CITY OF",,,A,223,135,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2001106,"BRONSON, CITY OF",,,A,305,151,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2011102,"ALLEN, CITY OF",,,A,159,85,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2011102,"ALLEN, CITY OF",,,A,159,85,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
